Language|Intended use|Imperative|Object-oriented|Functional|Procedural|Generic|Reflective|Event-driven|Other paradigm(s)|Standardized?
General|Yes||can be viewed as|||||stack-oriented|1994, ANSI|
Application, numerical computing|Yes|Yes||Yes|Yes||||1966, ANSI 66, ANSI 77, MIL-STD-1753, ISO 90, ISO 95, ISO 2003, ISO/IEC 1539-1:2010 (2008)|
Application, numerical computing|Yes|Yes||Yes|Yes||||No|
Application, inference, expert system|Yes|Yes|||||Yes|common graphical development and runtime environment|No|
Application|Yes|Yes|||||Yes||No|
Application, games|Yes|Yes|||||Yes||No|
Application, games|Yes|Yes||Yes||||simple object-oriented|No|
Application, web, server-side|Yes|[24]||Yes||Yes|Yes|concurrent|De facto standard via Go Language Specification|
Application, general, scripting, web|Yes|Yes|||Yes|Yes|||No|
Application||Yes||||||logic|No|
Application, general, scripting, web|Yes|Yes|Yes|||||aspect-oriented|In progress, JCP[25]|
Application, business, data processing, general, web|Yes|Yes|Yes|Yes|Yes|Yes||declarative|No|
Application|||Yes||Yes|||lazy evaluation|2010, Haskell 2010[26]|
Application, general, web|Yes|Yes|Yes||Yes|Yes|||No|
Application, education||||Yes|||Yes|weakly typed|No|
Application, RAD, general||Yes|||||Yes|weakly typed|Unknown|
Application, host-driven scripting|Yes|Yes|||||||No|
General|||Yes||||||Unknown|
General|Yes|Yes|Yes||Yes||||1997, ISO|
Data processing||||||||array-oriented, function-level, tacit|No|
Application, distributed|Yes|Yes|||||||No|
Application, business, client-side, general, mobile development, server-side, web|Yes|Yes|Yes|Yes|Yes|Yes|Yes|concurrent|De facto standard via Java Language Specification|
Client-side, server-side, web|Yes|Yes|Yes|Yes||Yes|Yes|prototype-based|1997, ECMA|
Research|||Yes|||||stack-oriented|No|
General, technical computing|Yes|Yes|Yes|Yes|Yes|Yes||multiple dispatch, meta, scalar and array-oriented, parallel, concurrent, distributed (""cloud"")|No|
Data processing, business||||||||array-oriented, tacit|Unknown|
Application, mobile development, server-side, client-side, web|Yes|Yes|Yes||Yes|Yes[27]|||No|
Application, industrial instrumentation-automation|Yes|Yes|Yes||||Yes|dataflow, visual|No|
General|||Yes||||||Unknown|
Application, RAD, general||Yes|||||Yes|weakly typed|No|
Artificial intelligence, application||Yes||||Yes|Yes|logic|No|
Virtual worlds content scripting and animation|Yes|||Yes|||Yes|Scripts exist in in-world objects|Yes[28]|
Application, embedded scripting|Yes|Yes[29]|Yes|Yes||Yes||aspect-oriented|No[30]|
Symbolic computation, numerical computing|Yes|Yes|Yes|Yes||||distributed|No|
Symbolic language|Yes|Yes|Yes|Yes||||logic, distributed|No|
Highly domain-specific, numerical computing|Yes|Yes||Yes|||||No|
Application, system|Yes||||Yes||||1996, ISO[31]|
Application|Yes|Yes|||Yes||||No|
Application, databases|Yes|||Yes||||concurrent, multi-user, NoSQL, transaction processing|1977, ANSI|
Application, general, web, scripting, system|Yes|Yes|Yes|Yes|Yes|Yes||multiple dispatch, Concurrent, meta|No|
Application, system|Yes|Yes|||||||No|
Application, general, mobile app, web|Yes|Yes||Yes|Yes|Yes|Yes|structured|No|
Application, general|Yes|Yes||Yes||Yes||concurrent|No|
Application, general|Yes|Yes|Yes|Yes|Yes||||No|
General|Yes|||Yes||||concurrent, process-oriented|No|
Web applications|Yes||Yes||Yes|||distributed|No|
General, Embedded Lisp Engine|Yes|Yes|Yes||Yes||||Supersedes ISLISP, ISO|
Application|Yes|Yes|||Yes||||No|
Application, distribution, education|Yes|Yes|Yes|||||concurrent, logic|No|
Application, education|Yes|||Yes|||||1983, ISO[32]|
Application, scripting, text processing, Web|Yes|Yes|Yes|Yes|Yes|Yes|||No|
Scripting, text processing, glue|Yes|Yes|Yes|Yes|Yes|Yes||aspect-oriented, array, lazy evaluation, multiple dispatch, metaprogramming|Yes|
Server-side, web application, web|Yes|Yes[33]|Yes[34]|Yes||Yes|||""De facto"" standard via language specification and Requests for Comments (RFCs)|
Application|Yes|Yes||Yes|||||1969, ECMA-50 (1976)|
Application, system development|Yes|||Yes|||||No|
Administration, application, general, scripting|Yes|Yes|Yes|Yes||Yes||pipeline|No|
Application, artificial intelligence||||||||logic, declarative|1995, ISO|
Application||||Yes|||||No|
Application, general, web, scripting, artificial intelligence, scientific computing|Yes|Yes|Yes|Yes||Yes|Yes|aspect-oriented|""De facto"" standard via Python Enhancement Proposals (PEPs)|
Application, statistics|Yes|Yes|Yes|Yes||Yes|||No|
Education, general, scripting||Yes|Yes|Yes||Yes||modular, logic, meta|No|
Application||||Yes|||||Unknown|
Distributed|Yes|Yes|Yes|Yes||Yes|Yes|dialected|No|
Application, system|Yes|||Yes|||||No|
Application, scripting, web|Yes|Yes|Yes|||Yes||aspect-oriented|2011(JIS X 3017), 2012(ISO/IEC 30170)|
Application, system|Yes|Yes[35]|Yes|Yes|Yes|||concurrent|No|
Application, statistics|Yes|Yes|Yes|Yes|||||No|
Application, numerical, scripting|Yes|||Yes|||||No|
Application, distributed, web|Yes|Yes|Yes||Yes|Yes|Yes||De facto standard via Scala Language Specification (SLS)|
Education, general|||Yes|||||extensible syntax|1998, R6RS|
Application, general, scripting, web|Yes|Yes|||Yes|Yes||multi-paradigm, extensible, structured|No|
Education, general|Yes|Yes|||||Yes|discrete event simulation, multi-threaded (quasi-parallel) program execution|1968|
Application, education, games|Yes||||||Yes|component-oriented|No|
Application, general, business, artificial intelligence, education, web|Yes|Yes|Yes|Yes||Yes|Yes|concurrent, declarative|1998, [ANSI|
Text processing|||||||||Unknown|
Application|Yes||Yes||Yes||||1997, SML '97[36]|
Application, general|Yes|Yes|Yes|Yes|Yes|Yes|Yes|concurrent, Multi-paradigm|No|
Application, scripting, web|Yes|Yes|Yes|Yes||Yes|Yes||No|
Application, RAD, education, business, general, (Includes VBA), office automation|Yes|Yes|||Yes||Yes|component-oriented|No|
Application, RAD, education, web, business, general|Yes|Yes|Yes|Yes|Yes|Yes|Yes|structured, concurrent|No|
Application||Yes||||||data-centric, logic|No|
Application|Yes|Yes|Yes||||Yes|declarative, logic|No|
Symbolic language|Yes|Yes|Yes|Yes||||logic, distributed|No|
|Yes|Yes||||||concept programming|No|
Application, RAD, general, web|Yes|Yes||Yes||Yes|Yes||No|
Databases, data processing, scripting|||Yes|||||tree-oriented|W3C 1999 XPath 1, 2010 XQuery 1, 2014 XPath/XQuery 3.0|
Application Programming|Yes|No|Yes|Yes||||Concurrent|No|
