Program;Operating system;License;Protocols, based on, compatible with;Encryption;Other abilities;Key and target markets;Latest release
Kerio Operator;Linux, VM;proprietary;SIP;[[Transport Layer Security|SSL]], [[Transport Layer Security|TLS]], [[Secure Real-time Transport Protocol|SRTP]];integrated firewall, Auto attendant, Call queues, Conference calling, Call forwarding, pickup, parking, recording, Click to Call, Video calling, Fax support, Paging, Salesforce.com and CRM integration, Voicemail to email, complementary desktop Softphone app;SME;2.5.2"; 15
MediaCore SBC;Linux;proprietary;H.323, SIP, SMPP;[[Secure Sockets Layer|SSL]], [[Transport Layer Security|TLS]], [[HTTP Secure|HTTPS]];Dynamic routing mechanism including LCR, Jurisdictional routing support, A-number based routing for EU-based providers), integrated billing, SIP-H.323 protocol converter, Transcoding - codec converter module, Guardian - revenue assurance module, SBC functionality, full and media proxy, Carrier SMS support;Transit VoIP services providers, VoIP wholesale carriers, VoIP termination providers, SMS carriers;4.6.1"; 05
Murmur;Linux, BSD, macOS, Windows;[[BSD licenses|BSD]], [[GNU General Public License|GPL]];CELT, Speex, Opus;[[Transport Layer Security|TLS]];Chat with (limited) embedded HTML, ACLs for user management, Customizable In-Game Overlay, Directional Audio, Plugin Support, Nested Channels;Individuals to Small and medium enterprise (25-5000 users);1.2.17"; 24
Mysipswitch;Linux;[[BSD licenses|BSD]];SIP, Ajax;[[Secure Sockets Layer|SSL]];SIP proxy server which allows the use of multiple SIP accounts with a single SIP login;Individuals;08
Objectworld UC Server;Windows XP-2003-2008;proprietary;SIP;no;IP PBX, personal assistants, IVR, automated phone provisioning, fax server, unified messaging, Outlook, Exchange and Lotus Domino-Notes integration, conferencing, outbound dialing;Small and medium enterprise (25-2000 users);4.4.2"; 05
Kamailio, OpenSIPS (formerly named OpenSER);Linux, BSD, Solaris;[[GNU General Public License|GPL]];SIP, XMPP;[[Transport Layer Security|TLS]], [[Secure Real-time Transport Protocol|SRTP]];SIP registrar-proxy, authentication, Diameter, RADIUS, ENUM, least-cost-routing, many others;SIP Service Providers;Latest stable software release/Kamailio
pascom Phone System;Cloud, Linux and Unix variations, VMWare, Hardware, ISO;Mixed: [[Freeware]] / [[GPL]] / [[Proprietary software|Proprietary]];SIP, XMPP;[[Transport Layer Security|TLS]], [[Secure Real-time Transport Protocol|SRTP]], [[Secure Real-time Transport Protocol|SRTP]],[[Let%27s_Encrypt|Let's Encrypt]], [[HTTP Secure|HTTPS]];IP PBX, Business IP telephony and conferencing, softphone, Fixed mobile convergence, softphone, mobile VoIP app (Android & iOS), voicemail, unified messaging, IVR, automated phone provisioning, fax server, hot-desking, call queuing, automated call distribution, skills-based routing, Outlook, Office365 and Exchange integration;SME and larger enterprises (3- 1000+ users);pascom 18.02 "; 07
Pbxnsip;Linux, BSD, macOS, Windows;proprietary;SIP;[[Secure Real-time Transport Protocol|SRTP]];IP PBX, presence indication, IVR, automated phone provisioning, fax server, unified messaging, Outlook, Exchange integration, conferencing, outbound dialing;Small and medium enterprise (25-256 users);3.3.1.3177"; 04
SIP Express Router (SER);Linux, BSD, Solaris;[[GNU General Public License|GPL]];SIP;no;SIP Registrar/Proxy, Authentication, Diameter, RADIUS, ENUM, many others;SIP Service Providers;2.0.0 Ottendorf
sipXecs IP PBX;Linux;[[Affero General Public License|AGPL]];Native SIP call control, XMPP;[[Transport Layer Security|TLS]], [[Secure Real-time Transport Protocol|SRTP]];Full redundancy (HA), instant messaging, voicemail, user portal, admin GUI, plug & play management including phones and gateways, fully featured;Enterprises between 10 and 10,000 users, multi-site;14.04.2"; 07
vzRoom;Windows;proprietary;SIP;[[Secure Sockets Layer|SSL]], [[Transport Layer Security|TLS]], [[Advanced Encryption Standard|AES]];Instant messaging-chat, VoIP, video, sharing (desktop, video, file), whiteboard, scheduler, recording;Individual to small and medium enterprise (2-1,000 users);0.8.8.735"; 11
Yate;BSD, Linux, macOS, Windows;[[GNU General Public License|GPL]];SIP, IAX, H.323, ISDN, XMPP (Jabber), Jingle (Google Talk), MGCP, SS7 over IP, Cisco SLT (Signalling Link Transport) (SS7 MTP2 backhaul over IP), SCTP, SCCP, TCAP, MAP CAMEL;[[Secure Sockets Layer|SSL]], [[Transport Layer Security|TLS]], [[Secure Real-time Transport Protocol|SRTP]];Voice, video, file transfer, data, H323 to SIP signalling proxy, instant messaging, IVR, PC2Phone and Phone2PC gateway, SCCP— GTT routing between networks, Secure Unified Communications, SIP registrar-proxy, SIP SBC (session border controller), USSD, voicemail, VoIP, VoIP to PSTN gateway, conference server (max 200 voice channels per conference), call centre server, prepaid and postpaid cards;Deployed on home servers and large networks with millions of users;5.5"; 05
