DOM1;?;1.0;?;?;2.0;Interface HTMLHeadElement;Interface HTMLHeadElement
DOM1;Interface HTMLHeadElement;Interface HTMLHeadElement;Interface HTMLHeadElement;Interface HTMLHeadElement;Interface HTMLHeadElement;Interface HTMLHeadElement;DOM1
DOM1;profile;[[#trident HTML URL|8.0]];?;1.0;?;?;1.0
DOM1;Interface HTMLLinkElement;Interface HTMLLinkElement;Interface HTMLLinkElement;Interface HTMLLinkElement;Interface HTMLLinkElement;Interface HTMLLinkElement;Interface HTMLLinkElement
DOM1;Interface HTMLLinkElement;DOM1;disabled;rowspan=""2"" 4.0;rowspan=""9"" yes;rowspan=""9"" 1.0;?
DOM1;?;rowspan=""9"" 1.0;charset;?;?;href;[[#trident HTML URL|8.0]]
?;?;hreflang;rowspan=""6"" 4.0;?;?;media;?
?;rel;?;?;rev;?;?;target
DOM1;?;?;type;?;?;Interface HTMLTitleElement;Interface HTMLTitleElement
DOM1;Interface HTMLTitleElement;Interface HTMLTitleElement;Interface HTMLTitleElement;Interface HTMLTitleElement;Interface HTMLTitleElement;Interface HTMLTitleElement;DOM1
DOM1;text;4.0;yes;1.0;?;?;1.0
DOM1;Interface HTMLMetaElement;Interface HTMLMetaElement;Interface HTMLMetaElement;Interface HTMLMetaElement;Interface HTMLMetaElement;Interface HTMLMetaElement;Interface HTMLMetaElement
Interface HTMLMetaElement;DOM1;content;rowspan=""3"" 4.0;rowspan=""3"" yes;rowspan=""4"" 1.0;?;?
rowspan=""3"" 1.0;httpEquiv;?;?;name;?;?;scheme
6.0;?;?;?;2.0;Interface HTMLBaseElement;Interface HTMLBaseElement;Interface HTMLBaseElement
Interface HTMLBaseElement;Interface HTMLBaseElement;Interface HTMLBaseElement;Interface HTMLBaseElement;Interface HTMLBaseElement;DOM1;href;[[#trident HTML URL|8.0]]
rowspan=""2"" yes;rowspan=""2"" 1.0;?;?;rowspan=""2"" 2.0;target;4.0;?
?;Interface HTMLStyleElement;Interface HTMLStyleElement;Interface HTMLStyleElement;Interface HTMLStyleElement;Interface HTMLStyleElement;Interface HTMLStyleElement;Interface HTMLStyleElement
DOM1;Interface HTMLStyleElement;DOM2;disabled;?;?;rowspan=""3"" 1.0;?
DOM1;?;rowspan=""3"" 1.0;media;rowspan=""2"" 4.0;rowspan=""2"" yes;?;?
DOM1;type;?;?;Interface HTMLBodyElement;Interface HTMLBodyElement;Interface HTMLBodyElement;Interface HTMLBodyElement
DOM1;Interface HTMLBodyElement;Interface HTMLBodyElement;Interface HTMLBodyElement;Interface HTMLBodyElement;DOM1;aLink;4.0
DOM1;rowspan=""6"" yes;rowspan=""6"" 1.0;?;?;rowspan=""6"" 1.0;background;[[#trident HTML URL|8.0]]
DOM1;?;?;bgColor;rowspan=""4"" 4.0;?;?;link
DOM1;?;?;text;?;?;vLink;?
DOM1;?;Interface HTMLFormElement;Interface HTMLFormElement;Interface HTMLFormElement;Interface HTMLFormElement;Interface HTMLFormElement;Interface HTMLFormElement
Interface HTMLFormElement;Interface HTMLFormElement;DOM1;action;[[#trident HTML URL|8.0]];yes;1.9;?
?;rowspan=""10"" 1.0;acceptEncoding;?;?;rowspan=""9"" 1.0;?;?
elements;rowspan=""3"" 3.0;rowspan=""8"" yes;?;?;length;?;?
name;?;?;enctype;4.0;?;?;method
DOM1;rowspan=""3"" 3.0;?;?;target;?;?;submit()
DOM1;?;?;reset();4.0;?;?;Interface HTMLSelectElement
DOM1;Interface HTMLSelectElement;Interface HTMLSelectElement;Interface HTMLSelectElement;Interface HTMLSelectElement;Interface HTMLSelectElement;Interface HTMLSelectElement;Interface HTMLSelectElement
DOM1;selectedIndex;rowspan=""4"" 3.0;rowspan=""9"" yes;rowspan=""15"" 1.0;?;?;rowspan=""15"" 1.0
length;?;?;options;?;?;name;?
DOM1;?;size;rowspan=""3"" 4.0;?;?;type;?
?;value;?;?;disabled;rowspan=""2"" 5.0;?;?
multiple;?;?;form;?;?;?;?
DOM2;tabIndex;?;?;?;?;add();?
DOM2;?;?;?;remove();?;?;?
?;blur();rowspan=""2"" 3.0;rowspan=""2"" yes;?;?;focus();?
?;Interface HTMLOptGroupElement;Interface HTMLOptGroupElement;Interface HTMLOptGroupElement;Interface HTMLOptGroupElement;Interface HTMLOptGroupElement;Interface HTMLOptGroupElement;Interface HTMLOptGroupElement
DOM1;Interface HTMLOptGroupElement;DOM1;disabled;?;?;rowspan=""2"" 1.0;?
DOM1;?;rowspan=""2"" 2.0;label;no;yes;?;?
DOM1;Interface HTMLOptionElement;Interface HTMLOptionElement;Interface HTMLOptionElement;Interface HTMLOptionElement;Interface HTMLOptionElement;Interface HTMLOptionElement;Interface HTMLOptionElement
DOM1;Interface HTMLOptionElement;DOM1;form;rowspan=""3"" 4.0;rowspan=""3"" yes;rowspan=""8"" 1.0;?
DOM1;?;rowspan=""5"" 1.0;defaultSelected;?;?;text;?
?;index;?;?;?;?;disabled;?
?;?;?;label;6.0;rowspan=""3"" yes;?;?
DOM1;2.0;selected;rowspan=""2"" 4.0;?;?;rowspan=""2"" 1.0;value
DOM1;?;?;Interface HTMLInputElement;Interface HTMLInputElement;Interface HTMLInputElement;Interface HTMLInputElement;Interface HTMLInputElement
DOM1;Interface HTMLInputElement;Interface HTMLInputElement;Interface HTMLInputElement;DOM1;defaultValue;rowspan=""3"" 3.0;rowspan=""3"" yes
DOM1;rowspan=""13"" 1.0;?;?;rowspan=""9"" 1.0;defaultChecked;?;?
DOM1;form;?;?;accept;?;?;?
DOM1;?;accesskey;?;?;?;?;align
DOM1;?;?;?;?;alt;?;?
DOM1;?;?;checked;3.0;rowspan=""7"" yes;?;?
DOM1;disabled;5.0;?;?;maxLength;4.0;?
?;2.0;name;3.0;?;?;rowspan=""12"" 1.0;readOnly
rowspan=""3"" 4.0;?;?;size;?;?;src;1.9
DOM1;?;?;tabIndex;?;?;rowspan=""8"" 1.0;?
DOM1;?;type;4.0;yes;?;?;useMap
DOM1;?;?;?;?;value;rowspan=""5"" 3.0;rowspan=""5"" yes
DOM1;?;?;blur();?;?;focus();?
DOM1;?;select();?;?;click();?;?
DOM1;Interface HTMLTextAreaElement;Interface HTMLTextAreaElement;Interface HTMLTextAreaElement;Interface HTMLTextAreaElement;Interface HTMLTextAreaElement;Interface HTMLTextAreaElement;Interface HTMLTextAreaElement
DOM1;Interface HTMLTextAreaElement;DOM1;defaultValue;rowspan=""2"" 3.0;rowspan=""2"" yes;rowspan=""14"" 1.0;?
DOM1;?;rowspan=""14"" 1.0;form;?;?;accesskey;?
DOM1;?;?;?;cols;4.0;rowspan=""5"" yes;?
DOM1;?;disabled;5.0;?;?;name;3.0
DOM1;?;?;readOnly;rowspan=""2"" 4.0;?;?;rows
DOM1;?;?;tabIndex;?;?;?;?
DOM1;type;4.0;rowspan=""5"" yes;?;?;value;rowspan=""4"" 3.0
DOM1;?;?;blur();?;?;focus();?
?;select();?;?;Interface HTMLButtonElement;Interface HTMLButtonElement;Interface HTMLButtonElement;Interface HTMLButtonElement
Interface HTMLButtonElement;Interface HTMLButtonElement;Interface HTMLButtonElement;Interface HTMLButtonElement;DOM1;form;3.0;yes
DOM1;rowspan=""7"" 1.0;?;?;rowspan=""7"" 1.0;accesskey;?;?
?;?;disabled;5.0;rowspan=""2"" yes;?;?;name
3.0;?;?;tabIndex;?;?;?;?
DOM1;type;rowspan=""2"" 3.0;rowspan=""2"" yes;?;?;value;?
DOM1;?;Interface HTMLLabelElement;Interface HTMLLabelElement;Interface HTMLLabelElement;Interface HTMLLabelElement;Interface HTMLLabelElement;Interface HTMLLabelElement
DOM1;Interface HTMLLabelElement;Interface HTMLLabelElement;DOM1;form;6.0;rowspan=""3"" yes;rowspan=""3"" 1.0
DOM1;?;?;rowspan=""3"" 1.0;accesskey;5.0;?;?
DOM1;htmlFor;4.0;?;?;Interface HTMLFieldSetElement;Interface HTMLFieldSetElement;Interface HTMLFieldSetElement
DOM1;Interface HTMLFieldSetElement;Interface HTMLFieldSetElement;Interface HTMLFieldSetElement;Interface HTMLFieldSetElement;Interface HTMLFieldSetElement;DOM1;form
DOM1;5.0;yes;1.0;?;?;1.0;Interface HTMLLegendElement
Interface HTMLLegendElement;Interface HTMLLegendElement;Interface HTMLLegendElement;Interface HTMLLegendElement;Interface HTMLLegendElement;Interface HTMLLegendElement;Interface HTMLLegendElement;DOM1
form;5.0;yes;rowspan=""3"" 1.0;?;?;rowspan=""3"" 1.0;accesskey
DOM1;?;?;?;?;align;5.0;yes
DOM1;?;?;Interface HTMLUListElement;Interface HTMLUListElement;Interface HTMLUListElement;Interface HTMLUListElement;Interface HTMLUListElement
DOM1;Interface HTMLUListElement;Interface HTMLUListElement;Interface HTMLUListElement;DOM1;compact;rowspan=""2"" 4.0;rowspan=""2"" yes
DOM1;rowspan=""2"" 1.0;?;?;rowspan=""2"" 1.0;type;?;?
DOM1;Interface HTMLOListElement;Interface HTMLOListElement;Interface HTMLOListElement;Interface HTMLOListElement;Interface HTMLOListElement;Interface HTMLOListElement;Interface HTMLOListElement
DOM1;Interface HTMLOListElement;DOM1;compact;rowspan=""3"" 4.0;rowspan=""3"" yes;rowspan=""3"" 1.0;?
DOM1;?;rowspan=""3"" 1.0;start;?;?;type;?
DOM1;?;Interface HTMLDListElement;Interface HTMLDListElement;Interface HTMLDListElement;Interface HTMLDListElement;Interface HTMLDListElement;Interface HTMLDListElement
DOM1;Interface HTMLDListElement;Interface HTMLDListElement;DOM1;compact;4.0;yes;1.0
DOM1;?;?;1.0;Interface HTMLLIElement;Interface HTMLLIElement;Interface HTMLLIElement;Interface HTMLLIElement
DOM1;Interface HTMLLIElement;Interface HTMLLIElement;Interface HTMLLIElement;Interface HTMLLIElement;DOM1;type;rowspan=""2"" 4.0
DOM1;rowspan=""2"" yes;rowspan=""2"" 1.0;?;?;rowspan=""2"" 1.0;value;?
DOM1;?;Interface HTMLDivElement;Interface HTMLDivElement;Interface HTMLDivElement;Interface HTMLDivElement;Interface HTMLDivElement;Interface HTMLDivElement
DOM1;Interface HTMLDivElement;Interface HTMLDivElement;DOM1;align;?;?;1.0
DOM1;?;?;1.0;Interface HTMLParagraphElement;Interface HTMLParagraphElement;Interface HTMLParagraphElement;Interface HTMLParagraphElement
DOM1;Interface HTMLParagraphElement;Interface HTMLParagraphElement;Interface HTMLParagraphElement;Interface HTMLParagraphElement;DOM1;align;?
DOM1;?;1.0;?;?;1.0;Interface HTMLHeadingElement;Interface HTMLHeadingElement
DOM1;Interface HTMLHeadingElement;Interface HTMLHeadingElement;Interface HTMLHeadingElement;Interface HTMLHeadingElement;Interface HTMLHeadingElement;Interface HTMLHeadingElement;DOM1
DOM1;align;4.0;yes;1.0;?;?;1.0
DOM1;Interface HTMLQuoteElement;Interface HTMLQuoteElement;Interface HTMLQuoteElement;Interface HTMLQuoteElement;Interface HTMLQuoteElement;Interface HTMLQuoteElement;Interface HTMLQuoteElement
DOM1;Interface HTMLQuoteElement;DOM1;cite;[[#trident HTML URL|8.0]];yes;1.0;?
?;1.0;Interface HTMLPreElement;Interface HTMLPreElement;Interface HTMLPreElement;Interface HTMLPreElement;Interface HTMLPreElement;Interface HTMLPreElement
Interface HTMLPreElement;Interface HTMLPreElement;DOM1;width;?;?;1.0;?
DOM1;?;1.0;Interface HTMLBRElement;Interface HTMLBRElement;Interface HTMLBRElement;Interface HTMLBRElement;Interface HTMLBRElement
DOM1;Interface HTMLBRElement;Interface HTMLBRElement;Interface HTMLBRElement;DOM1;clear;4.0;yes
DOM1;1.0;?;?;1.0;Interface HTMLHRElement;Interface HTMLHRElement;Interface HTMLHRElement
DOM1;Interface HTMLHRElement;Interface HTMLHRElement;Interface HTMLHRElement;Interface HTMLHRElement;Interface HTMLHRElement;DOM1;align
DOM1;rowspan=""4"" 4.0;rowspan=""4"" yes;rowspan=""4"" 1.0;?;?;rowspan=""4"" 1.0;noShade
DOM1;?;?;size;?;?;width;?
DOM1;?;Interface HTMLModElement;Interface HTMLModElement;Interface HTMLModElement;Interface HTMLModElement;Interface HTMLModElement;Interface HTMLModElement
DOM1;Interface HTMLModElement;Interface HTMLModElement;DOM1;cite;[[#trident HTML URL|8.0]];?;1.9
DOM1;?;?;rowspan=""2"" 1.0;dateTime;?;?;1.0
DOM1;?;?;Interface HTMLAnchorElement;Interface HTMLAnchorElement;Interface HTMLAnchorElement;Interface HTMLAnchorElement;Interface HTMLAnchorElement
DOM1;Interface HTMLAnchorElement;Interface HTMLAnchorElement;Interface HTMLAnchorElement;DOM1;accesskey;?;?
DOM1;rowspan=""14"" 1.0;?;?;rowspan=""14"" 1.0;charset;rowspan=""2"" 6.0;rowspan=""8"" yes
DOM1;?;?;coords;?;?;href;3.0
?;?;hreflang;6.0;?;?;name;rowspan=""3"" 4.0
?;?;rel;?;?;rev;?;?
DOM1;shape;6.0;?;?;tabIndex;?;?
DOM1;?;?;target;3.0;rowspan=""2"" yes;?;?
DOM1;type;6.0;?;?;blur();?;?
DOM1;?;?;focus();?;?;?;?
DOM1;Interface HTMLImageElement;Interface HTMLImageElement;Interface HTMLImageElement;Interface HTMLImageElement;Interface HTMLImageElement;Interface HTMLImageElement;Interface HTMLImageElement
DOM1;Interface HTMLImageElement;DOM1;name;rowspan=""7"" 4.0;rowspan=""7"" yes;rowspan=""12"" 1.0;?
?;rowspan=""7"" 1.0;align;?;?;alt;?;?
border;?;?;height;?;?;hspace;?
DOM1;?;isMap;?;?;longDesc;[[#trident HTML URL|8.0]];?
DOM1;?;?;2.0;src;rowspan=""4"" 4.0;rowspan=""4"" yes;?
?;rowspan=""4"" 1.0;useMap;?;?;vspace;?;?
width;?;?;Interface HTMLObjectElement;Interface HTMLObjectElement;Interface HTMLObjectElement;Interface HTMLObjectElement;Interface HTMLObjectElement
Interface HTMLObjectElement;Interface HTMLObjectElement;Interface HTMLObjectElement;DOM1;form;?;?;rowspan=""19"" 1.0
?;?;rowspan=""8"" 1.0;code;rowspan=""2"" 4.0;rowspan=""2"" yes;?;?
DOM1;align;?;?;archive;?;?;?
DOM1;?;border;?;?;?;?;codeBase
[[#trident HTML URL|8.0]];rowspan=""3"" yes;?;?;codeType;4.0;?;?
data;[[#trident HTML URL|8.0]];?;?;declare;?;?;?
DOM1;?;2.0;height;rowspan=""3"" 4.0;rowspan=""3"" yes;?;?
rowspan=""9"" 1.0;hspace;?;?;name;?;?;standby
?;?;?;?;tabIndex;?;?;?
DOM1;?;type;4.0;yes;?;?;useMap
DOM1;?;?;?;?;vspace;rowspan=""2"" 4.0;rowspan=""3"" yes
?;?;width;?;?;DOM2;contentDocument;no
?;?;2.0;Interface HTMLParamElement;Interface HTMLParamElement;Interface HTMLParamElement;Interface HTMLParamElement;Interface HTMLParamElement
Interface HTMLParamElement;Interface HTMLParamElement;Interface HTMLParamElement;DOM1;name;?;?;rowspan=""4"" 1.0
?;?;rowspan=""4"" 1.0;type;?;?;?;?
DOM1;value;?;?;?;?;valueType;no
?;?;?;Interface HTMLMapElement;Interface HTMLMapElement;Interface HTMLMapElement;Interface HTMLMapElement;Interface HTMLMapElement
Interface HTMLMapElement;Interface HTMLMapElement;Interface HTMLMapElement;DOM1;areas;rowspan=""2"" 4.0;rowspan=""2"" yes;rowspan=""2"" 1.0
?;?;rowspan=""2"" 1.0;name;?;?;Interface HTMLAreaElement;Interface HTMLAreaElement
Interface HTMLAreaElement;Interface HTMLAreaElement;Interface HTMLAreaElement;Interface HTMLAreaElement;Interface HTMLAreaElement;Interface HTMLAreaElement;DOM1;accesskey
?;?;rowspan=""8"" 1.0;?;?;rowspan=""8"" 1.0;alt;rowspan=""2"" 4.0
rowspan=""2"" yes;?;?;coords;?;?;hrefs;?
?;?;?;noHrefs;?;?;?;?
shape;4.0;yes;?;?;tabIndex;?;?
?;?;target;4.0;yes;?;?;Interface HTMLScriptElement
Interface HTMLScriptElement;Interface HTMLScriptElement;Interface HTMLScriptElement;Interface HTMLScriptElement;Interface HTMLScriptElement;Interface HTMLScriptElement;Interface HTMLScriptElement;DOM1
text;rowspan=""3"" 4.0;0;rowspan=""8"" 1.0;?;?;[[#presto HTMLScriptElement text|1.0]];htmlFor (reserved for future use)
rowspan=""2"" yes;?;?;no;event (reserved for future use);?;?;2.0
charset;?;?;?;?;rowspan=""5"" 1.0;defer;4.0
rowspan=""3"" yes;?;?;src;[[#trident HTML URL|8.0]];?;?;type
DOM1;4.0;?;?;target;?;?;?
DOM1;?;Interface HTMLTableElement;Interface HTMLTableElement;Interface HTMLTableElement;Interface HTMLTableElement;Interface HTMLTableElement;Interface HTMLTableElement
DOM1;Interface HTMLTableElement;Interface HTMLTableElement;DOM1;caption;rowspan=""12"" 4.0;rowspan=""11"" yes;rowspan=""22"" 1.0
?;?;rowspan=""22"" 1.0;tHead;?;?;tFoot;?
?;rows;?;?;tBodies;?;?;align
DOM1;?;?;bgColor;?;?;border;?
?;cellPadding;no;?;cellSpacing;?;?;frame
?;?;rules;rowspan=""2"" no;?;?;summary;6.0
DOM1;?;?;width;rowspan=""9"" 4.0;rowspan=""9"" yes;?;?
DOM1;createTHead();?;?;deleteTHead();?;?;createTFoot()
DOM1;?;?;deleteTFoot();?;?;createCaption();?
DOM1;?;deleteCaption();?;?;insertRow();?;?
DOM1;deleteRow();?;?;Interface HTMLTableCaptionElement;Interface HTMLTableCaptionElement;Interface HTMLTableCaptionElement;Interface HTMLTableCaptionElement
DOM1;Interface HTMLTableCaptionElement;Interface HTMLTableCaptionElement;Interface HTMLTableCaptionElement;Interface HTMLTableCaptionElement;DOM1;align;5.0
DOM1;yes;1.0;?;?;1.0;Interface HTMLTableColElement;Interface HTMLTableColElement
DOM1;Interface HTMLTableColElement;Interface HTMLTableColElement;Interface HTMLTableColElement;Interface HTMLTableColElement;Interface HTMLTableColElement;Interface HTMLTableColElement;DOM1
DOM1;align;4.0;yes;rowspan=""6"" 1.0;?;?;1.0
DOM1;ch;rowspan=""2"" 6.0;rowspan=""2"" no;?;?;rowspan=""2"" 2.0;chOff
DOM1;?;?;span;5.0;rowspan=""2"" yes;?;?
DOM1;rowspan=""3"" 1.0;vAlign;4.0;?;?;width;5.0
DOM1;0;?;?;Interface HTMLTableSectionElement;Interface HTMLTableSectionElement;Interface HTMLTableSectionElement;Interface HTMLTableSectionElement
Interface HTMLTableSectionElement;Interface HTMLTableSectionElement;Interface HTMLTableSectionElement;Interface HTMLTableSectionElement;DOM1;align;4.0;yes
rowspan=""7"" 1.0;?;?;1.0;ch;rowspan=""2"" 6.0;rowspan=""2"" no;?
DOM1;?;rowspan=""2"" 2.0;chOff;?;?;vAlign;rowspan=""4"" 4.0
DOM1;rowspan=""4"" yes;?;?;rowspan=""4"" 1.0;rows;?;?
DOM1;insertRow();?;?;deleteRow();?;?;Interface HTMLTableRowElement
DOM1;Interface HTMLTableRowElement;Interface HTMLTableRowElement;Interface HTMLTableRowElement;Interface HTMLTableRowElement;Interface HTMLTableRowElement;Interface HTMLTableRowElement;Interface HTMLTableRowElement
DOM1;DOM1;rowIndex;rowspan=""5"" 4.0;rowspan=""5"" yes;rowspan=""10"" 1.0;?;?
DOM1;rowspan=""5"" 1.0;sectionRowIndex;?;?;cells;?;?
DOM1;align;?;?;bgColor;?;?;ch
DOM1;rowspan=""2"" 6.0;rowspan=""2"" no;?;?;rowspan=""2"" 2.0;chOff;?
DOM1;?;vAlign;rowspan=""3"" 4.0;rowspan=""3"" yes;?;?;rowspan=""3"" 1.0
DOM1;insertCell();?;?;deleteCell();?;?;Interface HTMLTableCellElement
DOM1;Interface HTMLTableCellElement;Interface HTMLTableCellElement;Interface HTMLTableCellElement;Interface HTMLTableCellElement;Interface HTMLTableCellElement;Interface HTMLTableCellElement;Interface HTMLTableCellElement
DOM1;cellIndex;4.0;rowspan=""5"" yes;rowspan=""15"" 1.0;[[#webcore HTMLTableCellElement cellIndex|Incorrect]];?;1.0
abbr;6.0;?;?;2.0;align;4.0;?
DOM1;?;rowspan=""3"" 1.0;axis;6.0;?;?;bgColor
DOM1;4.0;?;?;ch;rowspan=""2"" 6.0;rowspan=""2"" no;?
DOM1;?;rowspan=""2"" 2.0;chOff;?;?;colSpan;4.0
DOM1;rowspan=""5"" yes;?;?;rowspan=""8"" 1.0;headers;6.0;?
DOM1;?;height;rowspan=""3"" 4.0;?;?;noWrap;?
DOM1;?;rowSpan;?;?;scope;?;?
DOM1;?;?;vAlign;rowspan=""2"" 4.0;rowspan=""2"" yes;?;?
DOM1;width;?;?;Interface HTMLFrameSetElement;Interface HTMLFrameSetElement;Interface HTMLFrameSetElement;Interface HTMLFrameSetElement
DOM1;Interface HTMLFrameSetElement;Interface HTMLFrameSetElement;Interface HTMLFrameSetElement;Interface HTMLFrameSetElement;DOM1;cols;rowspan=""2"" 4.0
DOM1;rowspan=""2"" yes;rowspan=""2"" 1.0;?;?;rowspan=""2"" 1.0;rows;?
DOM1;?;Interface HTMLFrameElement;Interface HTMLFrameElement;Interface HTMLFrameElement;Interface HTMLFrameElement;Interface HTMLFrameElement;Interface HTMLFrameElement
DOM1;Interface HTMLFrameElement;Interface HTMLFrameElement;DOM1;frameBorder;4.0;rowspan=""8"" yes;rowspan=""8"" 1.0
DOM1;?;?;rowspan=""8"" 1.0;longDesc;[[#trident HTML URL|8.0]];?;?
DOM1;marginHeight;rowspan=""2"" 6.0;?;?;marginWidth;?;?
DOM1;name;rowspan=""3"" 4.0;?;?;noResize;?;?
DOM1;scrolling;?;?;src;[[#trident HTML URL|8.0]];?;?
DOM1;DOM2;contentDocument;no;yes;1.0;?;?
1.0;Interface HTMLIFrameSetElement;Interface HTMLIFrameSetElement;Interface HTMLIFrameSetElement;Interface HTMLIFrameSetElement;Interface HTMLIFrameSetElement;Interface HTMLIFrameSetElement;Interface HTMLIFrameSetElement
Interface HTMLIFrameSetElement;DOM1;align;4.0;yes;rowspan=""11"" 1.0;?;?
rowspan=""11"" 1.0;frameBorder;?;?;?;?;height;4.0
DOM1;rowspan=""9"" yes;?;?;longDesc;[[#trident HTML URL|8.0]];?;?
DOM1;marginHeight;rowspan=""4"" 4.0;?;?;marginWidth;?;?
DOM1;name;?;?;scrolling;?;?;src
[[#trident HTML URL|8.0]];?;?;width;4.0;?;?;DOM2
contentDocument;no;?;?;;;;
DOM1;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
