?;DOM3;getFeature();no;no;no;?;1.0
Interface DocumentFragment;Interface DocumentFragment;Interface DocumentFragment;Interface DocumentFragment;Interface DocumentFragment;Interface DocumentFragment;Interface DocumentFragment;Interface DocumentFragment
DOM3;DOM1;(no properties);6.0;no;1.0;?;?
1.0;Interface Document;Interface Document;Interface Document;Interface Document;Interface Document;Interface Document;Interface Document
Interface Document;DOM1;doctype;[[#trident Document doctype|9.0]];rowspan=""7"" yes;partial;rowspan=""12"" yes;?
rowspan=""11"" 1.0;createElement();4.0;rowspan=""9"" 1.0;?;createTextNode();5.0;?
DOM2;createAttribute();6.0;?;documentElement;rowspan=""2"" 5.0;?;getElementsByTagName()
?;implementation;rowspan=""3"" 6.0;?;createDocumentFragment();rowspan=""3"" no;?;createComment()
?;createCDATASection();rowspan=""2"" 9.0;?;createProcessingInstruction();?;1.7;?
createEntityReference();no;?;no;?;no;DOM2;importNode()
rowspan=""4"" 9.0;rowspan=""4"" no;rowspan=""5"" 1.0;rowspan=""5"" yes;?;rowspan=""4"" 1.0;createElementNS();?
createAttributeNS();?;getElementsByTagNameNS();?;getElementById();[[#trident Document getElementById|8.0]];yes;?
DOM1;[[#presto Document getElementById|2.1]];DOM3;adoptNode();rowspan=""5"" 9.0;rowspan=""10"" no;rowspan=""5"" 1.7;yes
DOM1;?;2.0;inputEncoding;rowspan=""9"" no;?;rowspan=""9"" no;xmlEncoding
DOM1;?;xmlStandalone;?;xmlVersion;?;domConfig;rowspan=""5"" no
DOM1;no;?;strictErrorChecking;rowspan=""4"" 1.7;?;documentURI;?
DOM1;normalizeDocument();?;renameNode();?;Interface Node;Interface Node;Interface Node
DOM1;Interface Node;Interface Node;Interface Node;Interface Node;Interface Node;DOM1;nodeName
DOM1;rowspan=""15"" 5.0;rowspan=""17"" yes;rowspan=""11"" 1.0;rowspan=""17"" yes;?;rowspan=""17"" 1.0;nodeValue
DOM1;?;nodeType;?;parentNode;?;childNodes;?
DOM1;firstChild;?;lastChild;?;previousSibling;?;nextSibling
DOM1;?;attributes;?;cloneNode();?;insertBefore();rowspan=""4"" [[#gecko Node insertBefore|Partial]]
DOM1;?;replaceChild();?;removeChild();?;appendChild();?
ownerDocument;rowspan=""2"" 6.0;1.9;?;hasChildNodes();1.0;?;DOM2
DOM2;namespaceURI;rowspan=""3"" 5.0;rowspan=""5"" yes;rowspan=""5"" 1.0;rowspan=""5"" yes;?;rowspan=""5"" 1.0
DOM2;prefix;?;localName;?;isSupported();rowspan=""2"" 9.0;?
DOM2;hasAttributes();?;DOM3;isSameNode();[[#trident isSameNode|9.0]];rowspan=""11"" no;1.8
DOM2;rowspan=""11"" yes;?;rowspan=""2"" 2.1;compareDocumentPosition();9.0;rowspan=""9"" 1.7;4.2.4
baseURI;no;?;yes;textContent;rowspan=""4"" 9.0;?;rowspan=""5"" 2.0
DOM3;lookupPrefix();?;isDefaultNamespace();?;lookupNamespaceURI();?;getFeature()
DOM3;rowspan=""3"" no;?;setUserData();?;rowspan=""2"" no;getUserData();?
DOM3;isEqualNode();9.0;1.9;?;2.7;Interface NodeList;Interface NodeList
DOM3;Interface NodeList;Interface NodeList;Interface NodeList;Interface NodeList;Interface NodeList;Interface NodeList;DOM1
DOM3;length;rowspan=""2"" 5.0;rowspan=""2"" yes;rowspan=""2"" 1.0;rowspan=""2"" yes;?;rowspan=""2"" 1.0
DOM3;item();?;Interface NamedNodeMap;Interface NamedNodeMap;Interface NamedNodeMap;Interface NamedNodeMap;Interface NamedNodeMap
DOM3;Interface NamedNodeMap;Interface NamedNodeMap;Interface NamedNodeMap;DOM1;length;rowspan=""5"" 5.0;rowspan=""5"" yes
DOM3;rowspan=""5"" 1.0;rowspan=""5"" yes;?;rowspan=""5"" 1.0;getNamedItem();?;setNamedItem()
DOM3;?;removeNamedItem();?;item();?;DOM2;getNamedItemNS()
rowspan=""3"" 9.0;rowspan=""3"" no;rowspan=""3"" 1.0;rowspan=""3"" yes;?;rowspan=""3"" 1.0;setNamedItemNS();?
removeNamedItemNS();?;Interface CharacterData;Interface CharacterData;Interface CharacterData;Interface CharacterData;Interface CharacterData;Interface CharacterData
DOM1;Interface CharacterData;Interface CharacterData;DOM1;data;rowspan=""7"" 4.0;rowspan=""7"" yes;rowspan=""7"" 1.0
DOM1;rowspan=""7"" yes;?;rowspan=""7"" 1.0;length;?;substringData();?
DOM1;appendData();?;insertData();?;deleteData();?;replaceData()
DOM1;?;Interface Attr;Interface Attr;Interface Attr;Interface Attr;Interface Attr;Interface Attr
DOM1;Interface Attr;Interface Attr;DOM1;name;rowspan=""2"" 6.0;?;rowspan=""2"" 1.0
DOM1;rowspan=""2"" yes;rowspan=""2"" yes;rowspan=""3"" 1.0;value;?;specified;[[#trident Attr specified|Incorrect]]
DOM1;[[#tasman Attr specified|Incorrect]];[[#gecko Attr specified|1.9.1]];[[#webkit Attr specified|Yes]];[[#khtml Attr specified|Yes]];DOM2;ownerElement;9.0
DOM1;?;1.0;yes;yes;1.0;DOM3;schemaTypeInfo
DOM1;rowspan=""2"" no;rowspan=""2"" no;no;rowspan=""2"" no;?;rowspan=""2"" no;isId
DOM1;1.9;no;Interface Element;Interface Element;Interface Element;Interface Element;Interface Element
DOM1;Interface Element;Interface Element;Interface Element;DOM1;tagName;rowspan=""2"" 4.0;rowspan=""9"" yes
DOM1;rowspan=""9"" 1.0;rowspan=""8"" yes;rowspan=""8"" yes;rowspan=""9"" 1.0;getElementsByTagName();getAttribute();rowspan=""3"" [[#trident_Element_Attribute|8.0]]
DOM1;setAttribute();removeAttribute();getAttributeNode();6.0;setAttributeNode();rowspan=""3"" 9.0;removeAttributeNode()
DOM1;normalize();no;?;DOM2;getAttributeNS();rowspan=""8"" 9.0;rowspan=""5"" yes
DOM1;rowspan=""8"" 1.0;rowspan=""8"" yes;?;rowspan=""8"" 1.0;setAttributeNS();?;removeAttributeNS()
DOM1;?;getAttributeNodeNS();?;setAttributeNodeNS();?;getElementsByTagNameNS();no
?;hasAttribute();rowspan=""2"" yes;?;hasAttributeNS();?;DOM3;schemaTypeInfo
DOM2;rowspan=""4"" no;rowspan=""4"" no;rowspan=""4"" no;rowspan=""4"" no;?;rowspan=""4"" no;setIdAttribute()
DOM2;?;setIdAttributeNS();?;setIdAttributeNode();?;Interface Text;Interface Text
DOM2;Interface Text;Interface Text;Interface Text;Interface Text;Interface Text;Interface Text;DOM1
DOM2;splitText();9.0;yes;1.0;yes;?;1.0
DOM3;isElementContentWhitespace;no;rowspan=""3"" no;rowspan=""3"" 1.9.1;rowspan=""3"" no;?;yes
DOM3;wholeText;rowspan=""2"" 9.0;?;rowspan=""2"" 2.1;replaceWholeText();?;Interface Comment
DOM3;Interface Comment;Interface Comment;Interface Comment;Interface Comment;Interface Comment;Interface Comment;Interface Comment
DOM3;DOM1;(no properties);6.0;no;1.0;yes;?
DOM3;1.0;Interface TypeInfo;Interface TypeInfo;Interface TypeInfo;Interface TypeInfo;Interface TypeInfo;Interface TypeInfo
DOM3;Interface TypeInfo;Interface TypeInfo;DOM3;typeName;rowspan=""3"" no;rowspan=""3"" no;rowspan=""3"" no
DOM3;rowspan=""3"" no;rowspan=""3"" no;rowspan=""3"" no;typeNamespace;isDerivedFrom();Interface UserDataHandler;Interface UserDataHandler
DOM3;Interface UserDataHandler;Interface UserDataHandler;Interface UserDataHandler;Interface UserDataHandler;Interface UserDataHandler;Interface UserDataHandler;DOM3
DOM3;handle();no;no;no;no;no;no
DOM3;Interface DOMError;Interface DOMError;Interface DOMError;Interface DOMError;Interface DOMError;Interface DOMError;Interface DOMError
DOM3;Interface DOMError;DOM3;severity;rowspan=""6"" no;rowspan=""6"" no;rowspan=""6"" no;rowspan=""6"" no
rowspan=""6"" no;rowspan=""5"" 2.0;message;type;location;relatedData;relatedException;no
Interface DOMErrorHandler;Interface DOMErrorHandler;Interface DOMErrorHandler;Interface DOMErrorHandler;Interface DOMErrorHandler;Interface DOMErrorHandler;Interface DOMErrorHandler;Interface DOMErrorHandler
DOM1;DOM3;handleError();no;no;no;no;no
2.0;Interface DOMLocator;Interface DOMLocator;Interface DOMLocator;Interface DOMLocator;Interface DOMLocator;Interface DOMLocator;Interface DOMLocator
Interface DOMLocator;DOM3;lineNumber;rowspan=""6"" no;rowspan=""6"" no;rowspan=""6"" no;rowspan=""6"" no;rowspan=""6"" no
DOM1;rowspan=""6"" 2.0;columnNumber;byteOffset;utf16Offset;relatedNode;uri;Interface DOMConfiguration
DOM1;Interface DOMConfiguration;Interface DOMConfiguration;Interface DOMConfiguration;Interface DOMConfiguration;Interface DOMConfiguration;Interface DOMConfiguration;Interface DOMConfiguration
DOM1;DOM3;parameterNames;rowspan=""4"" no;rowspan=""4"" no;rowspan=""4"" no;rowspan=""4"" no;?
DOM1;rowspan=""4"" 2.0;setParameter();?;getParameter();?;canSetParameter();?
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
